run_id,date,method,crop_split,heldout_crop,n_labels,seed,config_path,command,checkpoint_path,status,notes
dataset_tomato,2026-03-25,manifest_add,tomato,,513,42,configs/datasets/tomato.yaml,, ,added,Tomato manifest added
dataset_strawberry,2026-03-25,manifest_add,strawberry,,4000,42,configs/datasets/strawberry.yaml,, ,added,Strawberry manifest added
dataset_apple,2026-03-25,manifest_add,apple,,10000,42,configs/datasets/apple.yaml,, ,added,Apple manifest added
dataset_kiwi,2026-03-25,manifest_add,kiwi,,302,42,configs/datasets/kiwi.yaml,, ,added,Kiwi (held-out) manifest added
step2_downloader,2026-03-25,script_add,,,,,scripts/download_datasets.py,, ,added,Roboflow dataset download script
step2_validator,2026-03-25,script_add,,,,,src/greenpoll/data/validate_yolo_labels.py,, ,added,YOLO label format validator
step2_data_docs,2026-03-25,doc_add,,,,,data/README.md,, ,added,Dataset structure and freeze policy documentation
scratch_kiwi_b25_s42,2026-03-25,scratch,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 25,runs/step3/scratch/scratch_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.006
coco_transfer_kiwi_b25_s42,2026-03-25,coco_transfer,kiwi,kiwi,25,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods coco_transfer --seeds 42 --budgets 25,runs/step3/coco_transfer/coco_transfer_kiwi_b25_s42/weights/best.pt,completed,mAP50=0.8995
scratch_kiwi_b50_s42,2026-03-25,scratch,kiwi,kiwi,50,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s42/weights/best.pt,completed,mAP50=0.8485
scratch_kiwi_b100_s42,2026-03-25,scratch,kiwi,kiwi,100,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s42/weights/best.pt,completed,mAP50=0.919
scratch_kiwi_b200_s42,2026-03-25,scratch,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s42/weights/best.pt,completed,mAP50=0.9213
scratch_kiwi_b500_s42,2026-03-25,scratch,kiwi,kiwi,181,42,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 42 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s42/weights/best.pt,completed,mAP50=0.9213
scratch_kiwi_b50_s43,2026-03-25,scratch,kiwi,kiwi,50,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s43/weights/best.pt,completed,mAP50=0.0103
scratch_kiwi_b100_s43,2026-03-25,scratch,kiwi,kiwi,100,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 100,runs/step3/scratch/scratch_kiwi_b100_s43/weights/best.pt,completed,mAP50=0.9067
scratch_kiwi_b200_s43,2026-03-25,scratch,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 181,runs/step3/scratch/scratch_kiwi_b200_s43/weights/best.pt,completed,mAP50=0.9307
scratch_kiwi_b500_s43,2026-03-25,scratch,kiwi,kiwi,181,43,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 43 --budgets 181,runs/step3/scratch/scratch_kiwi_b500_s43/weights/best.pt,completed,mAP50=0.9307
scratch_kiwi_b50_s44,2026-03-26,scratch,kiwi,kiwi,50,44,configs/experiments/crosspoll.yaml,python scripts/run_baselines.py --methods scratch --seeds 44 --budgets 50,runs/step3/scratch/scratch_kiwi_b50_s44/weights/best.pt,completed,mAP50=0.8473
